Type,Product Code,Material Description,Pack Size,New MRP / Kit (with GST),CTP,Saarthi Price,New TP (1-50),Assorted 50,Assorted 100
AQ 100 / 200 System Packs,AMYAQ1-01,AMYLASE,4 x 20,"16,680","7,995","5,996","4,797","4,264",-
AQ 100 / 200 System Packs,ALPAQ1-01,ALKALINE PHOSPHATASE,4 x 15,"2,000","1,581","1,186",949,843,-
AQ 100 / 200 System Packs,GPTAQ1-01,ALAT (GPT),6 x 20 / 6 x 5,"3,650","2,551","1,913","1,530","1,360",-
AQ 100 / 200 System Packs,GOTAQ1-01,ASAT (GOT),6 x 20 / 6 x 5,"3,650","2,551","1,913","1,530","1,360",-
AQ 100 / 200 System Packs,BITAQ1-01,BILIRUBIN TOTAL,5 x 15 / 5 x 5,"1,300",731,548,438,389,-
AQ 100 / 200 System Packs,BIDAQ1-01,BILIRUBIN DIRECT,5 x 15 / 5 x 5,"1,300",731,548,438,389,-
AQ 100 / 200 System Packs,CAAAQ1-01,CALCIUM (A),4 x 20,"2,000","1,707","1,280","1,024",910,-
AQ 100 / 200 System Packs,CREADQ1-02,CREATININE,5 x 15 / 5 x 15,"1,690",960,720,576,512,-
AQ 100 / 200 System Packs,ECRAQ1-01,ENZ. CREATININE,4 x 18 / 4 x 6,"6,710","2,929","2,197","1,758","1,598",-
AQ 100 / 200 System Packs,CKNAQ1-01,CREATINE KINASE NAC,2 x 20 / 2 x 5,"6,380","3,533","2,650","2,120","1,884",-
AQ 100 / 200 System Packs,CKMAQ1-01,CREATINE KINASE MB,2 x 20 / 2 x 5,"14,860","7,220","5,415","4,332","3,850",-
AQ 100 / 200 System Packs,CHOAQ1-01,CHOLESTEROL,6 x 20,"2,810","1,865","1,399","1,119",994,-
AQ 100 / 200 System Packs,LDLAQ1-01,LDL CHOLESTEROL (Direct),1 x 18 / 1 x 6,"8,530","3,811","2,858","2,286","2,032",-
AQ 100 / 200 System Packs,CHDAQ1-01,CHLORIDE,4 x 20,"1,250","1,180","1,110","1,080",960,-
AQ 100 / 200 System Packs,GGTAQ1-01,γ-GLUTAMYL TRANSFERASE,1 x 20 / 1 x 5,"3,060","1,951","1,463","1,170","1,040",-
AQ 100 / 200 System Packs,GLUAQ1-01,GLUCOSE,10 x 20,"1,560","1,065",799,639,568,-
AQ 100 / 200 System Packs,LDHAQ1-01,LACTATE DEHYDROGENASE,1 x 20 / 1 x 5,"1,840","1,484","1,113",890,791,-
AQ 100 / 200 System Packs,MAGAQ1-01,MAGNESIUM,4 x 20,"7,670","3,427","2,570","2,056","1,827",-
AQ 100 / 200 System Packs,PHOAQ1-01,PHOSPHORUS,4 x 20,"1,430","1,350","1,066",853,758,-
AQ 100 / 200 System Packs,MTPAQ1-01,MICROPROTEIN,4 x 20,"3,060","2,844","2,133","1,706","1,516",-
AQ 100 / 200 System Packs,TRGAQ1-01,TRIGLYCERIDE,6 x 20,"6,170","3,195","2,396","1,917","1,704",-
AQ 100 / 200 System Packs,URCAQ1-01,URIC ACID,4 x 15,"2,200","1,241",931,745,662,-
AQ 100 / 200 System Packs,UREAQ1-01,UREA,6 x 20 / 6 x 5,"3,390","2,933","2,200","1,760","1,564",-
AQ 100 / 200 System Packs,MALAQ2-01,Micro Albumin,2 x 20 / 2 x 5,"13,270","7,207","5,405","4,324","3,843",-
AQ 100 / 200 System Packs,CRPAQ2-01,CRP,2 x 20 / 2 x 5,"8,340","4,805","3,604","2,883","2,562",-
AQ 100 / 200 System Packs,LIPAQ2-01,LIPASE,1 x 20 / 1 x 12,"12,490","5,579","4,184","3,347","2,975",-
AQ 100 / 200 System Packs,ALBAQ1-01,ALBUMIN,6 x 20,560,533,400,320,284,-
AQ 100 / 200 System Packs,HDLAQ1-01,HDL CHOLESTEROL (Direct),2 x 18 / 2 x 6,"7,600","3,393","2,545","2,036","1,809",-
