Product Code,Material Description,Pack Size (ml),MRP (₹),Customer Trade Price (₹),Saarthi Price (₹),DB Price (₹)
ALBAQ4-01,ALBUMIN,6 x 50,"1,400",589,442,354
AMYAQ4-01,AMYLASE,6 x 20,"25,010","10,547","7,910","6,328"
ALPAQ4-01,ALKALINE PHOSPHATASE,6 x 20,"4,000","1,688","1,266","1,013"
GPTAQ4-01,ALAT (GPT),4 x 60 / 4 x 15,"7,300","3,076","2,307","1,846"
GOTAQ4-01,ASAT (GOT),4 x 60 / 4 x 15,"7,300","3,076","2,307","1,846"
BITAQ4-01,BILIRUBIN TOTAL,4 x 45 / 4 x 15,"3,130","1,319",989,791
BIDAQ4-01,BILIRUBIN DIRECT,4 x 45 / 4 x 15,"3,130","1,319",989,791
CAAAQ4-01,CALCIUM (A),4 x 20,"2,000",844,633,506
CREA Q4-01,CREATININE,4 x 60 / 4 x 15,"3,380","1,425","1,069",855
ECRAQ4-01,ENZ. CREATININE,4 x 45 / 4 x 15,"15,720","6,240","4,680","3,744"
CKNAQ4-01,CREATINE KINASE NAC,4 x 60 / 4 x 15,"38,270","16,136","12,102","9,682"
CKMAQ4-01,CREATINE KINASE MB,4 x 60 / 4 x 15,"89,180","37,600","28,200","22,560"
CHOAQ4-01,CHOLESTEROL,6 x 70,"9,850","4,153","3,115","2,492"
HDLAQ4-01,HDL CHOLESTEROL (Direct),4 x 45 / 4 x 15,"38,980","16,436","12,327","9,861"
LDLAQ4-01,LDL CHOLESTEROL (Direct),4 x 45 / 4 x 15,"87,550","36,913","27,685","22,148"
CHDAQ4-01,CHLORIDE,6 x 20,"1,880",791,593,475
GGTAQ4-01,γ-GLUTAMYL TRANSFERASE,2 x 60 / 2 x 15,"18,340","7,735","5,801","4,641"
GLUAQ4-01,GLUCOSE,6 x 70,"3,280","1,385","1,039",831
LDHAQ4-01,LACTATE DEHYDROGENASE,2 x 60 / 2 x 15,"11,030","4,649","3,487","2,790"
MAGAQ4-01,MAGNESIUM,4 x 20,"7,670","3,235","2,426","1,941"
PHOAQ4-01,PHOSPHORUS,6 x 20,"2,140",903,677,542
TPRAQ4-01,TOTAL PROTEIN,6 x 20,560,236,177,142
MTPAQ4-01,MICROPROTEIN,6 x 20,"4,590","1,936","1,452","1,162"
TRGAQ4-01,TRIGLYCERIDE,6 x 70,"21,600","9,105","6,829","5,464"
URCAQ4-01,URIC ACID,4 x 50,"7,340","3,093","2,320","1,856"
UREAQ4-01,UREA,4 x 60 / 4 x 15,"6,770","2,856","2,142","1,714"
MALAQ4-01,MICRO ALBUMIN,2 x 40 / 2 x 10,"26,530","11,185","8,389","6,712"
CRPAQ4-01,CRP,2 x 40 / 2 x 10,"16,680","7,031","5,273","4,219"
LIPAQ4-01,LIPASE,2 x 20 / 2 x 12,"27,480","11,588","8,691","6,952"
HBAAQ4-01,HbA1c,2 x 33 / 2 x 14 / 2 x 80 / 4 x 0.5,"129,810","86,925","65,194","52,155"
ASOAQ4-01,ASO,2 x 40 / 2 x 10,"22,580","10,417","7,813","6,250"
RHFAQ4-01,RF,2 x 40 / 2 x 10,"33,060","7,351","5,513","4,410"
CRPAQ4-02,CRP,2 x 40 / 2 x 10,"22,240","9,425","7,069","5,655"
DDMAQ4-01,D-Dimer,1 x 45 / 1 x 15,"70,800","30,000","22,500","18,000"
FRTAQ4-01,Ferritin,1 x 45 / 1 x 15,"45,840","23,125","17,344","13,875"
