Product Code,Material Description,Pack Size (ml),MRP (Rs.),Customer Trade Price (Rs.),Saarthi Price (Rs.),DB Price (Rs.)
ALBERS-01,Albumin,10 x 44,"2,040",809,607,516
ALPERS-01,ALP,2 x 44 / 2 x 11,"3,660","1,451","1,088",925
AMYERS-01,Amylase,5 x 22,"19,960","7,920","5,940","5,049"
BIDERS-01,BID (DCA),6 x 44 / 3 x 22,"3,330","1,320",990,842
BITERS-01,BIT (DCA),6 x 44 / 3 x 22,"3,330","1,320",990,842
CAAERS-01,Calcium (A),10 x 12,"3,050","1,209",907,771
CHDERS-01,Chloride,10 x 12,"1,640",652,489,416
CHOERS-01,Cholesterol,10 x 44,"11,530","4,576","3,432","2,917"
CKMERS-01,CK MB,2 x 44 / 2 x 11,"31,050","12,320","9,240","7,854"
CKNERS-01,C K NAC,2 x 44 / 2 x 11,"13,270","5,268","3,951","3,358"
CREERS-01,Creatinine,5 x 44 / 5 x 11,"2,770","1,100",825,701
GGTERS-01,g-GGT,2 x 44 / 2 x 11,"13,290","5,275","3,956","3,363"
GLUERS-01,Glucose,10 x 44,"2,060",819,614,521
GOTERS-01,ASAT (GOT),6 x 44 / 3 x 22,"5,330","2,116","1,587","1,349"
GPTERS-01,ALAT (GPT),6 x 44 / 3 x 22,"5,170","2,052","1,539","1,308"
LDHERS-01,LDH-P,2 x 44 / 2 x 11,"7,960","3,159","2,369","2,014"
LIPERS-01,Lipase,2 x 44 / 2 x 11,"43,930","17,432","13,074","11,113"
MAGERS-01,Magnesium,2 x 44,"7,850","3,115","2,336","1,985"
MTPERS-01,Microprotein,10 x 12,"9,920","3,937","2,953","2,510"
PHOERS-01,Phosphorus,10 x 12,"2,030",807,605,514
TPRERS-01,Total Protein,10 x 44,"2,330",923,692,589
TRGERS-01,Triglyceride,5 x 44 / 5 x 11,"16,070","6,379","4,784","4,066"
URCERS-01,Uric Acid,5 x 44 / 5 x 11,"10,530","4,179","3,134","2,664"
UREERS-01,Urea,5 x 44 / 5 x 11,"5,870","2,331","1,748","1,486"
HDLERS-01,HDL-C Direct,4 x 30 / 4 x 10,"32,980","13,087","9,815","8,343"
LDLERS-01,LDL-C Direct,2 x 30 / 2 x 10,"35,000","13,888","10,416","8,854"
CRPERS-01,CRP,2 x 40 / 2 x 10,"12,590","4,995","3,746","3,184"
MALERS-01,Microalbumin,2 x 30 / 2 x 10,"20,030","7,947","5,960","5,066"
