Category,Product Code,Material Description,Pack Size / Volume,MRP,CTP,Saarthi,TP,Slab,Qty in Slab (Tests),Price / Kit (₹),Price / Test (₹)
HIV ELISA,HV4ELI-02,HIV 4th Gen,96 Test,"10,750","2,330","1,920",–,Regular,No Slab,"1,632",17
HIV ELISA,HV4ELI-02,HIV 4th Gen,96 Test,"10,750","2,330","1,920",–,Slab 1,"2,400","1,488",15.5
HIV ELISA,HV4ELI-02,HIV 4th Gen,96 Test,"10,750","2,330","1,920",–,Slab 2,"7,200","1,440",15
HIV ELISA,HV4ELI-02,HIV 4th Gen,96 Test,"10,750","2,330","1,920",–,Slab 3,"14,400","1,344",14
HIV ELISA,HV3ELI-01,HIV 3rd Gen,96 Test,"6,370","1,785","1,470",–,Regular,No Slab,"1,248",13
HIV ELISA,HV3ELI-01,HIV 3rd Gen,96 Test,"6,370","1,785","1,470",–,Slab 1,960,"1,200",13
HIV ELISA,HV3ELI-01,HIV 3rd Gen,96 Test,"6,370","1,785","1,470",–,Slab 2,"2,400","1,152",12
HIV ELISA,HV3ELI-01,HIV 3rd Gen,96 Test,"6,370","1,785","1,470",–,Slab 3,"4,800","1,104",12
HCV ELISA,HPCELI-03,HCV 3rd Gen,96 Test,"11,020","2,195","1,805",–,Regular,No Slab,"1,536",16
HCV ELISA,HPCELI-03,HCV 3rd Gen,96 Test,"11,020","2,195","1,805",–,Slab 1,"2,400","1,488",16
HCV ELISA,HPCELI-03,HCV 3rd Gen,96 Test,"11,020","2,195","1,805",–,Slab 2,"7,200","1,440",15
HCV ELISA,HPCELI-03,HCV 3rd Gen,96 Test,"11,020","2,195","1,805",–,Slab 3,"14,400","1,344",14
HCV ELISA,HC4ELI-01,HCV 4th Gen,96 Test,"35,280","15,085","12,425",–,Regular,No Slab,"10,560",110
HCV ELISA,HC4ELI-01,HCV 4th Gen,96 Test,"35,280","15,085","12,425",–,Slab 1,960,"10,080",105
HCV ELISA,HC4ELI-01,HCV 4th Gen,96 Test,"35,280","15,085","12,425",–,Slab 2,"2,400","9,600",100
HCV ELISA,HC4ELI-01,HCV 4th Gen,96 Test,"35,280","15,085","12,425",–,Slab 3,"4,800","9,120",95
HBsAg ELISA,HPBELI-01,HBsAg,96 Test,"4,620","1,030",845,–,Regular,No Slab,720,8
HBsAg ELISA,HPBELI-01,HBsAg,96 Test,"4,620","1,030",845,–,Slab 1,"2,400",696,7
HBsAg ELISA,HPBELI-01,HBsAg,96 Test,"4,620","1,030",845,–,Slab 2,"7,200",672,7
HBsAg ELISA,HPBELI-01,HBsAg,96 Test,"4,620","1,030",845,–,Slab 3,"14,400",648,7
TFT ELISA,TSIELI-01,TSH,96 Test,"15,400","2,055","1,695",–,Regular,No Slab,"1,440",15
TFT ELISA,TSIELI-01,TSH,96 Test,"15,400","2,055","1,695",–,Slab 1,960,"1,344",14
TFT ELISA,TSIELI-01,TSH,96 Test,"15,400","2,055","1,695",–,Slab 2,"4,800","1,152",12
TFT ELISA,ITFELI-01,T4,96 Test,"12,730","2,330","1,920",–,Regular,No Slab,"1,632",17
TFT ELISA,ITFELI-01,T4,96 Test,"12,730","2,330","1,920",–,Slab 1,960,"1,536",16
TFT ELISA,ITFELI-01,T4,96 Test,"12,730","2,330","1,920",–,Slab 2,"4,800","1,248",13
TFT ELISA,ITTELI-01,T3,96 Test,"12,730","2,055","1,695",–,Regular,No Slab,"1,440",15
TFT ELISA,ITTELI-01,T3,96 Test,"12,730","2,055","1,695",–,Slab 1,960,"1,344",14
TFT ELISA,ITTELI-01,T3,96 Test,"12,730","2,055","1,695",–,Slab 2,"4,800","1,152",12
Dengue NS1 ELISA,DNSELI-01,Dengue NS1,48 Test,"15,370","4,115","3,390",–,Regular,No Slab,"2,880",60
Dengue NS1 ELISA,DNSELI-01,Dengue NS1,48 Test,"15,370","4,115","3,390",–,Slab 1,"2,400","2,640",55
Dengue NS1 ELISA,DNSELI-01,Dengue NS1,48 Test,"15,370","4,115","3,390",–,Slab 2,"4,800","2,400",50
Dengue NS1 ELISA,DNSELI-01,Dengue NS1,48 Test,"15,370","4,115","3,390",–,Slab 3,"9,600","2,160",45
Dengue NS1 ELISA,DNSELI-02,Dengue NS1,96 Test,"30,740","8,230","6,775",–,Regular,No Slab,"5,760",60
Dengue NS1 ELISA,DNSELI-02,Dengue NS1,96 Test,"30,740","8,230","6,775",–,Slab 1,"2,400","5,280",55
Dengue NS1 ELISA,DNSELI-02,Dengue NS1,96 Test,"30,740","8,230","6,775",–,Slab 2,"4,800","4,800",50
Dengue NS1 ELISA,DNSELI-02,Dengue NS1,96 Test,"30,740","8,230","6,775",–,Slab 3,"9,600","4,320",45
Other Vector Borne ELISA,DEGELI-02,Dengue IgG,96 Test,"38,350","8,230","6,775",–,Regular,No Slab,"5,760",60
Other Vector Borne ELISA,DEGELI-02,Dengue IgG,96 Test,"38,350","8,230","6,775",–,Slab 1,"2,400","5,280",55
Other Vector Borne ELISA,DEGELI-02,Dengue IgG,96 Test,"38,350","8,230","6,775",–,Slab 2,"4,800","4,800",50
Other Vector Borne ELISA,DEGELI-02,Dengue IgG,96 Test,"38,350","8,230","6,775",–,Slab 3,"9,600","4,320",45
