Product Code,Material Description,Pack Size,New MRP / Kit (with GST),New CTP,SAARTHI Price,New TP (1-50),New Slab-2 (51-100),New Slab-3 (101-200)
ALBFSR-02,ALBUMIN (With 2 Standards),2 x 500,"1,570","1,021",900,790,720,600
BILFSR-03,BILIRUBIN (TOTAL & DIRECT),4 x 250,"2,020","1,313","1,155","1,020",900,700
BILFSR-04,BILIRUBIN (TOTAL & DIRECT),2 x 500,"1,680","1,092",961,850,790,700
CHOFSR-03,CHOLESTEROL (With 2 Standards),5 x 100,"3,360","2,184","1,922","1,700","1,650","1,600"
CREFSR-05,CREATININE (With 2 Standards),2 x 250,"1,010",780,686,605,595,590
CREFSR-06,CREATININE (With 2 Standards),2 x 500,"1,680","1,480","1,380","1,270","1,210","1,170"
GLUFSR-04,GLUCOSE (With 2 Standards),4 x 500,"3,580","2,327","2,048","1,800","1,680","1,300"
GOTFSR-02,SGOT,4 x 100 / 2 x 50,"4,480","2,912","2,563","2,255","2,025","1,750"
GPTFSR-02,SGPT,4 x 100 / 2 x 50,"4,480","2,912","2,563","2,255","2,025","1,850"
TPRFSR-02,TOTAL PROTEIN,2 x 500,"1,570","1,021",898,800,780,750
URCFSR-03,URIC ACID (With 2 Standards),10 x 50,"5,040","3,276","2,883","2,535","2,350","1,850"
