Category,Product Code,Material Description,Pack Size / Volume,MRP,CTP,Saarthi,TP,Slab,Qty in Slab (Tests),Price / Kit (₹),Price / Test (₹)
HIV Quadro,HD4RPD-03,HIV Quadro,50 Tests,"14,680","3,145","2,590",–,Regular,No Slab,"2,200",44
HIV Quadro,HD4RPD-03,HIV Quadro,50 Tests,"14,680","3,145","2,590",–,Slab 1,"1,000","2,150",43
HIV Quadro,HD4RPD-03,HIV Quadro,50 Tests,"14,680","3,145","2,590",–,Slab 2,"2,500","2,100",42
HIV Quadro,HD4RPD-03,HIV Quadro,50 Tests,"14,680","3,145","2,590",–,Slab 3,"5,000","2,050",41
HIV Quadro,HD4RPD-03,HIV Quadro,50 Tests,"14,680","3,145","2,590",–,Slab 4,"10,000","2,000",40
HIV Quadro,HD4RPD-01,HIV Quadro,10 Tests,"2,940",645,530,–,Regular,No Slab,450,45
HIV Quadro,HD4RPD-01,HIV Quadro,10 Tests,"2,940",645,530,–,Slab 1,"1,000",430,43
HIV Quadro,HD4RPD-01,HIV Quadro,10 Tests,"2,940",645,530,–,Slab 2,"2,500",420,42
HIV Quadro,HD4RPD-01,HIV Quadro,10 Tests,"2,940",645,530,–,Slab 3,"5,000",410,41
HIV Quadro,HD4RPD-01,HIV Quadro,10 Tests,"2,940",645,530,–,Slab 4,"10,000",400,40
