Category,Product Code,Material Description,Pack Size / Volume,MRP,CTP,Saarthi,TP,Slab,Qty in Slab (Tests),Price / Kit (₹),Price / Test (₹)
HCV Tredro,HCDRPD-03,HCV Tredro,50 Tests,"7,880","3,145","2,590",–,Regular,No Slab,"2,200",44
HCV Tredro,HCDRPD-03,HCV Tredro,50 Tests,"7,880","3,145","2,590",–,Slab 1,"1,000","2,150",43
HCV Tredro,HCDRPD-03,HCV Tredro,50 Tests,"7,880","3,145","2,590",–,Slab 2,"2,500","2,100",42
HCV Tredro,HCDRPD-03,HCV Tredro,50 Tests,"7,880","3,145","2,590",–,Slab 3,"5,000","2,050",41
HCV Tredro,HCDRPD-03,HCV Tredro,50 Tests,"7,880","3,145","2,590",–,Slab 4,"10,000","2,000",40
HCV Tredro,HCDRPD-01,HCV Tredro,10 Tests,"1,580",645,530,–,Regular,No Slab,450,45
HCV Tredro,HCDRPD-01,HCV Tredro,10 Tests,"1,580",645,530,–,Slab 1,"1,000",430,43
HCV Tredro,HCDRPD-01,HCV Tredro,10 Tests,"1,580",645,530,–,Slab 2,"2,500",420,42
HCV Tredro,HCDRPD-01,HCV Tredro,10 Tests,"1,580",645,530,–,Slab 3,"5,000",410,41
HCV Tredro,HCDRPD-01,HCV Tredro,10 Tests,"1,580",645,530,–,Slab 4,"10,000",400,40
