 Sr.No , SKU Code , Short Specification , Detailed Specification , UOM , Units , LOB , Portfolio , Brand , Sub Brand , Speciality , Section , GST % 
1,ABW810,GT-BONEWAX (2 GM),BONEWAX X 2 GM,DZ,  12 , Others , P-1 ,Aspiron,Aspiron Others,NCV,Section M,5
2,ACGC01 4226,GT-CHROMIC CATGUT 1 X 76-45MM 3/8 Circle Round Body,CHROMIC CATGUT 1 X 76-45MM 3/8 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
3,ACGC01 4227,GT-CHROMIC CATGUT 1 X 100-45MM 1/2 Circle Round Body,CHROMIC CATGUT 1 X 100-45MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
4,ACGC01 4248,GT-CHROMIC CATGUT 1 X 100-50MM 1/2 Circle Round Body,CHROMIC CATGUT 1 X 100-50MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
5,ACGC01 4259,GT-CHROMIC CATGUT 1 X 76-40MM 1/2 Circle Round Body,CHROMIC CATGUT 1 X 76-40MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
6,ACGC02 4228,GT-CHROMIC CATGUT 2 X 100-45MM 1/2 Circle Round Body,CHROMIC CATGUT 2 X 100-45MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
7,ACGC10 4221,GT-CHROMIC CATGUT 0 X 76-40MM 3/8 Circle Round Body,CHROMIC CATGUT 0 X 76-40MM 3/8 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
8,ACGC10 4229,GT-CHROMIC CATGUT 0 X 100-45MM 1/2 Circle Round Body,CHROMIC CATGUT 0 X 100-45MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
9,ACGC10 4242,GT-CHROMIC CATGUT 0 X 76-30MM 1/2 Circle Round Body,CHROMIC CATGUT 0 X 76-30MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
10,ACGC10 4246,GT-CHROMIC CATGUT 0 X 76-40MM 1/2 Circle Round Body,CHROMIC CATGUT 0 X 76-40MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
11,ACGC20 4216,GT-CHROMIC CATGUT 2-0 X 76-30MM 3/8 Circle Round Body,CHROMIC CATGUT 2-0 X 76-30MM 3/8 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
12,ACGC20 4241,GT-CHROMIC CATGUT 2-0 X 76-30MM 1/2 Circle Round Body,CHROMIC CATGUT 2-0 X 76-30MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
13,ACGC30 4237,GT-CHROMIC CATGUT 3-0 X 76-20MM 1/2 Circle Round Body,CHROMIC CATGUT 3-0 X 76-20MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
14,ACGS01 2215,GT-CHROMIC CATGUT 1 X 152,CHROMIC CATGUT 1 X 152,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
15,ACGS10 2214,GT-CHROMIC CATGUT 0 X 152,CHROMIC CATGUT 0 X 152,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
16,AMHR KIT 1,"GT-APPL20844APGN202317,ANYL203336APPM611","GT-APPL20844APGN202317,ANYL203336APPM611",BOX,  1 , Kit , P-1 ,Aspiron,Aspiron Mesh Kit,Mesh,Section M,5
17,AMHR KIT 2,"GT-APPL20844APGN202317,ANYL203336APPM715","GT-APPL20844APGN202317,ANYL203336APPM715",BOX,  1 , Kit , P-1 ,Aspiron,Aspiron Mesh Kit,Mesh,Section M,5
18,ANYL01 3338,GT-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,POLYAMIDE BLACK  1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
19,ANYL01 3348,GT-POLYAMIDE Black 1 X 150-48MM 1/2 Circle Round Body LOOP,POLYAMIDE BLACK  1 X 150-48MM 1/2 CIRCLE ROUND BODY  LOOP,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
20,ANYL013338NE,ANE-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,POLYAMIDE BLACK  1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
21,ANYL013338Q1,SP-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,POLYAMIDE BLACK  1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
22,ANYL10 3337,GT-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
23,ANYL103337NE,ANE-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
24,ANYL103337Q1,SP-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
25,ANYL20 3336,GT-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
26,ANYL20 3336SL,GT-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 35-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
27,ANYL203336NE,ANE-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
