Type,Type Shortform,Product Code,Material Description,Pack Size (ml),New MRP / Kit (with GST),New CTP,SAARTHI Price,New TP (1-50),New Slab-2 (51-100),New Slab-3 (101-200)
Fluid Stable Reagents,FSR,ALBFSR-01,ALBUMIN,4 x 50,721,335,297,261,255,229
Fluid Stable Reagents,FSR,TPRFSR-01,TOTAL PROTEIN,4 x 50,647,300,268,236,229,206
Fluid Stable Reagents,FSR,BILFSR-01,BILIRUBIN (TOTAL & DIRECT),4 x 50,1319,612,548,482,465,418
Fluid Stable Reagents,FSR,CAOFSR-01,CALCIUM - OCPC,2 x 25,718,342,307,270,254,229
Fluid Stable Reagents,FSR,MTPFSR-01,MICROPROTEIN,2 x 25,1159,576,516,454,428,385
Fluid Stable Reagents,FSR,ALPFSR-01,ALKALINE PHOSPHATASE,4 x 10,943,460,411,362,343,308
Fluid Stable Reagents,FSR,ALPFSR-02,ALKALINE PHOSPHATASE,5 x 20,2226,987,884,778,734,659
Fluid Stable Reagents,FSR,CHDFSR-01,CHLORIDE,2 x 25,462,215,193,170,160,144
Fluid Stable Reagents,FSR,DBLFSR-01,DIRECT BILIRUBIN,4 x 25,441,248,222,195,193,190
Fluid Stable Reagents,FSR,CLWFSR-01,CELL WASH,4 x 50,588,400,365,321,321,321
Fluid Stable Reagents,FSR,URCFSR-02,URIC ACID,4 x 50,2657,1498,"1,341","1,180","1,137","1,022"
Fluid Stable Reagents,FSR,CHOFSR-01,CHOLESTEROL,4 x 25,1279,729,652,574,537,482
Fluid Stable Reagents,FSR,TBLFSR-01,TOTAL BILIRUBIN,4 x 25,535,292,261,230,215,193
Fluid Stable Reagents,FSR,GPTFSR-01,SGPT,4 x 20 / 4 x 5,1424,696,623,548,511,459
Fluid Stable Reagents,FSR,CHOFSR-02,CHOLESTEROL,4 x 50,3108,1350,"1,214","1,068",992,892
Fluid Stable Reagents,FSR,UREFSR-01,UREA,4 x 20 / 4 x 5,1571,760,684,602,559,502
Fluid Stable Reagents,FSR,UREFSR-02,UREA (with 2 standards),4 x 100 / 2 x 50,6080,2807,"2,513","2,211","2,054","1,846"
Fluid Stable Reagents,FSR,URCFSR-01,URIC ACID,4 x 10,794,429,384,338,314,282
Fluid Stable Reagents,FSR,GOTFSR-01,SGOT,4 x 20 / 4 x 5,1507,733,657,578,534,480
Fluid Stable Reagents,FSR,CREFSR-03,CREATININE,2 x 25 / 2 x 25,722,351,315,277,255,230
Fluid Stable Reagents,FSR,BILFSR-02,BILIRUBIN (TOTAL & DIRECT),2 x 200,2476,1201,"1,075",946,867,780
Fluid Stable Reagents,FSR,CAAFSR-01,CALCIUM - ARSENAZO,2 x 25,965,470,422,371,338,304
Fluid Stable Reagents,FSR,HDCFSR-01,HDL - CHOLESTEROL,4 x 25,1291,629,564,496,452,406
Fluid Stable Reagents,FSR,CREFSR-04,CREATININE,3 x 50 / 3 x 50,2100,908,813,715,651,585
Fluid Stable Reagents,FSR,PHOFSR-01,PHOSPHOROUS,2 x 25,579,284,255,224,204,183
Fluid Stable Reagents,FSR,AMYFSR-01,AMYLASE,4 x 10,4851,"2,350","2,118","1,864","1,697","1,526"
